"Динаміка обсягу виробництва кукурудзи кормової на 01 грудня 2021 року1
Dynamics of fodder roots production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,59470.5,101.9,55817.2,102.1,3653.3,99.3,Ukraine,
,Вінницька,5577.2,112.2,5526.1,112.4,51.1,91.7,Vinnytsya,
,Волинська,2178.5,108.2,1822.3,109.3,356.2,102.5,Volyn,
,Дніпропетровська,1415.9,82.9,1031.7,77.4,384.2,102.5,Dnipropetrovsk,
,Донецька,1286.9,109.9,924.4,115.5,362.5,98.0,Donetsk,
,Житомирська,1795.3,97.7,1707.3,97.9,88.0,93.0,Zhytomyr,
,Закарпатська,–,–,–,–,–,–,Zakarpattya,
,Запорізька,769.3,117.2,756.8,116.7,12.5,156.0,Zaporizhzhya,
,Івано-Франківська,633.0,133.6,620.5,134.8,12.5,92.9,Ivano–Frankivsk,
,Київська,4752.5,108.6,4581.0,106.5,171.5,225.4,Kyiv,
,Кіровоградська,1658.0,89.8,1658.0,89.8,–,–,Kirovohrad,
,Луганська,469.8,87.4,424.2,87.8,45.6,84.0,Luhansk,
,Львівська,435.5,106.4,435.5,106.4,–,–,Lviv,
,Миколаївська,1161.0,121.4,682.1,132.4,478.9,108.5,Mikolayiv,
,Одеська,607.7,75.7,592.7,73.9,15.0,–,Odesa,
,Полтавська,7268.1,96.7,7112.1,97.4,156.0,72.4,Poltava,
,Рівненська,1155.0,109.6,1004.6,110.9,150.4,101.6,Rivne ,
,Сумська,3359.8,95.6,3305.7,96.1,54.1,72.5,Sumy,
,Тернопільська,1913.1,128.1,1875.5,129.2,37.6,91.1,Ternopil,
,Харківська,4708.5,92.2,4658.2,92.5,50.3,76.0,Kharkiv,
,Херсонська,1446.4,94.5,480.0,86.2,966.4,99.2,Kherson,
,Хмельницька,5604.4,98.3,5470.7,99.4,133.7,68.8,Khmelnytskiy,
,Черкаська,4946.5,91.1,4819.7,90.9,126.8,98.9,Cherkasy,
,Чернівецька,167.6,168.1,167.6,168.1,–,–,Chernivtsi,
,Чернігівська,6160.5,119.3,6160.5,119.3,–,–,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
