"Збір урожаю пшениці на 01 грудня 2021 року1
Harvesting of  wheat as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,7055.5,327196.7,46.4,5388.0,261123.3,48.5,1667.5,66073.4,39.6,Ukraine,,
,Вінницька,324.1,18419.6,56.8,264.6,15478.9,58.5,59.5,2940.7,49.5,Vinnytsya,,
,Волинська,165.2,7416.9,44.9,83.8,4853.8,57.9,81.4,2563.1,31.5,Volyn,,
,Дніпропетровська,559.1,24676.3,44.1,460.6,21072.5,45.7,98.5,3603.8,36.6,Dnipropetrovsk,,
,Донецька,383.7,15572.3,40.6,323.9,13225.8,40.8,59.8,2346.5,39.2,Donetsk,,
,Житомирська,169.1,8389.8,49.6,138.0,7274.2,52.7,31.1,1115.6,35.9,Zhytomyr,,
,Закарпатська,23.1,783.5,33.8,2.4,94.2,38.5,20.7,689.3,33.3,Zakarpattya,,
,Запорізька,703.3,27300.2,38.8,510.7,20099.8,39.4,192.6,7200.4,37.4,Zaporizhzhya,,
,Івано-Франківська,47.5,2446.5,51.6,24.1,1368.9,57.0,23.4,1077.6,46.0,Ivano-Frankivsk,,
,Київська,205.3,10807.4,52.6,168.0,9311.2,55.4,37.3,1496.2,40.1,Kyiv,,
,Кіровоградська,382.1,19020.0,49.8,310.2,15797.6,50.9,71.9,3222.4,44.9,Kirovohrad,,
,Луганська,258.3,10117.9,39.2,216.3,8641.4,40.0,42.0,1476.5,35.2,Luhansk,,
,Львівська,166.6,8340.7,50.1,86.6,4786.2,55.3,80.0,3554.5,44.5,Lviv,,
,Миколаївська,476.6,20140.0,42.3,394.5,17288.3,43.8,82.1,2851.7,34.7,Mikolayiv,,
,Одеська,674.9,27310.3,40.5,481.2,20414.2,42.4,193.7,6896.1,35.6,Odesa,,
,Полтавська,249.0,12233.5,49.1,197.1,10055.2,51.0,51.9,2178.3,41.9,Poltava,,
,Рівненська,114.6,5519.6,48.2,59.3,3316.8,56.0,55.3,2202.8,39.8,Rivne ,,
,Сумська,195.7,9496.4,48.5,168.7,8419.0,49.9,27.0,1077.4,39.8,Sumy,,
,Тернопільська,202.1,11710.0,57.9,130.8,8551.8,65.4,71.3,3158.2,44.3,Ternopil,,
,Харківська,587.2,28515.1,48.6,496.4,24566.6,49.5,90.8,3948.5,43.5,Kharkiv,,
,Херсонська,502.3,21339.6,42.5,325.5,14276.2,43.9,176.8,7063.4,39.9,Kherson,,
,Хмельницька,219.1,13609.9,62.2,183.4,11978.7,65.4,35.7,1631.2,45.8,Khmelnytskiy,,
,Черкаська,225.2,12554.0,55.8,176.6,10144.3,57.5,48.6,2409.7,49.6,Cherkasy,,
,Чернівецька,34.4,1819.1,52.7,22.3,1213.5,54.1,12.1,605.6,50.1,Chernivtsi,,
,Чернігівська,187.0,9658.1,51.6,163.0,8894.2,54.6,24.0,763.9,31.8,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,6515.4,252761.1,38.8,4910.5,199573.3,40.6,1604.9,53187.8,33.1,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
