"Динаміка обсягу виробництва пшениці на 01 грудня 2021 року1
Dynamics of production volume of  wheat as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,327196.7,129.4,261123.3,130.8,66073.4,124.2,Ukraine
,Вінницька,18419.6,132.6,15478.9,129.0,2940.7,155.5,Vinnytsya
,Волинська,7416.9,100.4,4853.8,104.6,2563.1,93.3,Volyn
,Дніпропетровська,24676.3,124.2,21072.5,124.8,3603.8,121.0,Dnipropetrovsk
,Донецька,15572.3,110.8,13225.8,110.9,2346.5,110.0,Donetsk
,Житомирська,8389.8,131.3,7274.2,137.5,1115.6,101.1,Zhytomyr
,Закарпатська,783.5,94.1,94.2,67.2,689.3,99.6,Zakarpattya
,Запорізька,27300.2,130.2,20099.8,125.3,7200.4,146.4,Zaporizhzhya
,Івано-Франківська,2446.5,84.2,1368.9,74.6,1077.6,100.8,Ivano–Frankivsk
,Київська,10807.4,135.8,9311.2,140.7,1496.2,111.4,Kyiv
,Кіровоградська,19020.0,165.5,15797.6,168.9,3222.4,150.9,Kirovohrad
,Луганська,10117.9,97.7,8641.4,95.5,1476.5,113.2,Luhansk
,Львівська,8340.7,103.1,4786.2,95.7,3554.5,115.2,Lviv
,Миколаївська,20140.0,170.7,17288.3,179.6,2851.7,131.2,Mikolayiv
,Одеська,27310.3,267.8,20414.2,346.5,6896.1,160.1,Odesa
,Полтавська,12233.5,117.2,10055.2,122.2,2178.3,98.6,Poltava
,Рівненська,5519.6,111.0,3316.8,117.7,2202.8,102.3,Rivne 
,Сумська,9496.4,100.4,8419.0,99.7,1077.4,106.2,Sumy
,Тернопільська,11710.0,111.5,8551.8,108.7,3158.2,119.9,Ternopil
,Харківська,28515.1,104.9,24566.6,107.2,3948.5,92.8,Kharkiv
,Херсонська,21339.6,132.9,14276.2,129.4,7063.4,140.4,Kherson
,Хмельницька,13609.9,123.8,11978.7,123.3,1631.2,127.8,Khmelnytskiy
,Черкаська,12554.0,162.0,10144.3,164.2,2409.7,153.2,Cherkasy
,Чернівецька,1819.1,117.9,1213.5,116.4,605.6,121.1,Chernivtsi
,Чернігівська,9658.1,125.6,8894.2,126.4,763.9,116.2,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
