"Збір урожаю пшениці озимої на 01 грудня 2021 року1
Harvesting of winter wheat as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,6869.8,319284.1,46.5,5259.7,255318.1,48.5,1610.1,63966.0,39.7,Ukraine,,
,Вінницька,313.4,17868.7,57.0,256.8,15074.0,58.7,56.6,2794.7,49.4,Vinnytsya,,
,Волинська,151.4,6913.7,45.7,76.0,4516.6,59.4,75.4,2397.1,31.8,Volyn,,
,Дніпропетровська,555.8,24579.2,44.2,458.0,20998.2,45.9,97.8,3581.0,36.6,Dnipropetrovsk,,
,Донецька,382.0,15518.6,40.6,323.1,13199.3,40.9,58.9,2319.3,39.4,Donetsk,,
,Житомирська,147.0,7333.1,49.9,119.7,6340.0,52.9,27.3,993.1,36.4,Zhytomyr,,
,Закарпатська,22.6,767.5,33.9,2.2,85.2,38.7,20.4,682.3,33.4,Zakarpattya,,
,Запорізька,700.3,27216.1,38.9,508.3,20033.6,39.4,192.0,7182.5,37.4,Zaporizhzhya,,
,Івано-Франківська,41.4,2192.6,53.0,21.7,1267.1,58.5,19.7,925.5,47.0,Ivano-Frankivsk,,
,Київська,190.4,10126.9,53.2,156.6,8729.7,55.7,33.8,1397.2,41.3,Kyiv,,
,Кіровоградська,379.4,18928.2,49.9,308.3,15730.2,51.0,71.1,3198.0,45.0,Kirovohrad,,
,Луганська,257.2,10077.7,39.2,215.5,8609.4,40.0,41.7,1468.3,35.2,Luhansk,,
,Львівська,145.8,7458.1,51.2,75.4,4308.5,57.2,70.4,3149.6,44.8,Lviv,,
,Миколаївська,472.8,20012.6,42.3,392.1,17206.4,43.9,80.7,2806.2,34.8,Mikolayiv,,
,Одеська,670.2,27135.2,40.5,478.9,20320.6,42.4,191.3,6814.6,35.6,Odesa,,
,Полтавська,245.3,12112.2,49.4,195.3,9995.2,51.2,50.0,2117.0,42.3,Poltava,,
,Рівненська,108.1,5237.2,48.5,55.3,3129.2,56.6,52.8,2108.0,39.9,Rivne ,,
,Сумська,188.1,9196.8,48.9,162.8,8178.3,50.2,25.3,1018.5,40.2,Sumy,,
,Тернопільська,183.2,10819.4,59.0,119.1,7952.0,66.7,64.1,2867.4,44.7,Ternopil,,
,Харківська,577.6,28118.3,48.7,489.0,24271.5,49.6,88.6,3846.8,43.4,Kharkiv,,
,Херсонська,500.8,21300.7,42.5,324.5,14248.2,43.9,176.3,7052.5,40.0,Kherson,,
,Хмельницька,209.5,13176.5,62.9,175.7,11619.4,66.1,33.8,1557.1,46.1,Khmelnytskiy,,
,Черкаська,220.0,12322.1,56.0,172.3,9946.5,57.7,47.7,2375.6,49.8,Cherkasy,,
,Чернівецька,31.8,1723.6,54.0,21.0,1162.8,55.2,10.8,560.8,51.8,Chernivtsi,,
,Чернігівська,175.7,9149.1,52.1,152.1,8396.2,55.2,23.6,752.9,31.8,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,6349.9,246442.2,38.8,4804.4,195231.4,40.6,1545.5,51210.8,33.1,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
