"Динаміка обсягу виробництва пшениці озимої на 01 грудня 2021 року1
Dynamics of winter wheat production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,319284.1,129.6,255318.1,130.8,63966.0,124.9,Ukraine,
,Вінницька,17868.7,132.1,15074.0,128.6,2794.7,154.4,Vinnytsya,
,Волинська,6913.7,99.4,4516.6,103.3,2397.1,92.8,Volyn,
,Дніпропетровська,24579.2,124.3,20998.2,124.9,3581.0,121.2,Dnipropetrovsk,
,Донецька,15518.6,110.8,13199.3,111.0,2319.3,109.8,Donetsk,
,Житомирська,7333.1,126.1,6340.0,130.1,993.1,105.4,Zhytomyr,
,Закарпатська,767.5,93.2,85.2,60.8,682.3,99.9,Zakarpattya,
,Запорізька,27216.1,130.5,20033.6,125.5,7182.5,146.7,Zaporizhzhya,
,Івано-Франківська,2192.6,85.9,1267.1,77.5,925.5,100.8,Ivano–Frankivsk,
,Київська,10126.9,136.5,8729.7,141.7,1397.2,111.0,Kyiv,
,Кіровоградська,18928.2,166.3,15730.2,169.8,3198.0,151.2,Kirovohrad,
,Луганська,10077.7,98.1,8609.4,95.9,1468.3,113.3,Luhansk,
,Львівська,7458.1,103.1,4308.5,93.9,3149.6,119.1,Lviv,
,Миколаївська,20012.6,171.7,17206.4,181.0,2806.2,130.6,Mikolayiv,
,Одеська,27135.2,268.4,20320.6,347.5,6814.6,159.8,Odesa,
,Полтавська,12112.2,117.6,9995.2,122.5,2117.0,98.8,Poltava,
,Рівненська,5237.2,110.9,3129.2,117.9,2108.0,101.9,Rivne ,
,Сумська,9196.8,100.3,8178.3,99.6,1018.5,106.4,Sumy,
,Тернопільська,10819.4,109.9,7952.0,106.0,2867.4,122.5,Ternopil,
,Харківська,28118.3,104.5,24271.5,106.8,3846.8,91.9,Kharkiv,
,Херсонська,21300.7,133.1,14248.2,129.7,7052.5,140.6,Kherson,
,Хмельницька,13176.5,123.0,11619.4,122.4,1557.1,127.0,Khmelnytskiy,
,Черкаська,12322.1,164.2,9946.5,166.7,2375.6,154.5,Cherkasy,
,Чернівецька,1723.6,114.8,1162.8,113.0,560.8,118.7,Chernivtsi,
,Чернігівська,9149.1,123.7,8396.2,124.3,752.9,117.3,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
