oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,10.7,550.9,51.5,404.9,51.9,7.8,146,50.5,2.9,Vinnytsya
Волинська,13.8,503.2,36.5,337.2,43.3,7.8,166,27.7,6,Volyn
Дніпропетровська,3.3,97.1,28.8,74.3,27.8,2.6,22.8,32.4,0.7,Dnipropetrovsk
Донецька,1.7,53.7,30.5,26.5,32.5,0.8,27.2,28.8,0.9,Donetsk
Житомирська,22.1,1056.7,47.9,934.2,51.1,18.3,122.5,32.5,3.8,Zhytomyr
Закарпатська,0.5,16,30.1,9,36.6,0.2,7,24.5,0.3,Zakarpattya
Запорізька,3,84.1,27.9,66.2,27.1,2.4,17.9,31.2,0.6,Zaporizhzhya
Івано-Франківська,6.1,253.9,41.9,101.8,43.4,2.4,152.1,41,3.7,Ivano-Frankivsk
Київська,14.9,680.5,45.7,581.5,51,11.4,99,28.4,3.5,Kyiv
Кіровоградська,2.7,91.8,33.8,67.4,34.3,1.9,24.4,32.3,0.8,Kirovohrad
Луганська,1.1,40.2,36.7,32,40.8,0.8,8.2,26.5,0.3,Luhansk
Львівська,20.8,882.6,42.4,477.7,42.5,11.2,404.9,42.2,9.6,Lviv
Миколаївська,3.8,127.4,33.5,81.9,34.2,2.4,45.5,32.2,1.4,Mikolayiv
Одеська,4.7,175.1,38,93.6,41.5,2.3,81.5,34.6,2.4,Odesa
Полтавська,3.7,121.3,32.7,60,33.2,1.8,61.3,32.2,1.9,Poltava
Рівненська,6.5,282.4,43.6,187.6,47.2,4,94.8,37.8,2.5,Rivne 
Сумська,7.6,299.6,38.9,240.7,40.5,5.9,58.9,33.7,1.7,Sumy
Тернопільська,18.9,890.6,47.2,599.8,51.2,11.7,290.8,40.5,7.2,Ternopil
Харківська,9.6,396.8,41.4,295.1,39.8,7.4,101.7,46.5,2.2,Kharkiv
Херсонська,1.5,38.9,25.9,28,27.9,1,10.9,22,0.5,Kherson
Хмельницька,9.6,433.4,45.7,359.3,47.1,7.7,74.1,39.8,1.9,Khmelnytskiy
Черкаська,5.2,231.9,45.1,197.8,46.8,4.3,34.1,37.1,0.9,Cherkasy
Чернівецька,2.6,95.5,36.5,50.7,37.8,1.3,44.8,35.2,1.3,Chernivtsi
Чернігівська,11.3,509,44.9,498,45.6,10.9,11,26.5,0.4,Chernihiv
