oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,423.3,42397.6,100.2,37838,105.8,357.7,4559.6,69.5,65.6,Vinnytsya
Волинська,49.1,4804.3,97.8,4663.9,101.1,46.1,140.4,47,3,Volyn
Дніпропетровська,295.3,15277.6,51.7,7494,71,105.5,7783.6,41,189.8,Dnipropetrovsk
Донецька,55.7,2473.2,44.3,785.1,45.7,17.1,1688.1,43.7,38.6,Donetsk
Житомирська,250.8,23077.7,92,21935.1,94.1,233.2,1142.6,64.9,17.6,Zhytomyr
Закарпатська,46,2330.2,50.6,771,94.4,8.2,1559.2,41.2,37.8,Zakarpattya
Запорізька,36.6,2757.5,75.1,2382.1,90.3,26.3,375.4,36.3,10.3,Zaporizhzhya
Івано-Франківська,66.3,5590,84.3,4467.7,95.2,46.9,1122.3,58,19.4,Ivano-Frankivsk
Київська,320.3,30490.4,95.2,29480.6,97.8,301.5,1009.8,53.7,18.8,Kyiv
Кіровоградська,323.2,22637.8,70,17683.8,77.7,227.6,4954,51.8,95.6,Kirovohrad
Луганська,53.1,1547.7,29.1,932.2,29.9,31.2,615.5,28.1,21.9,Luhansk
Львівська,66.7,6292.3,94.4,5929.2,100.2,59.2,363.1,48.5,7.5,Lviv
Миколаївська,117.4,5954.1,50.7,2905.7,77.6,37.4,3048.4,38.1,80,Mikolayiv
Одеська,131.4,8238.7,62.7,5303.8,75.1,70.6,2934.9,48.3,60.8,Odesa
Полтавська,598.3,40361.2,67.5,34501.2,69.1,499.3,5860,59.2,99,Poltava
Рівненська,88,7824.3,88.9,7474.8,90.7,82.4,349.5,62,5.6,Rivne 
Сумська,402.1,29270.6,72.8,28143.2,74.5,378,1127.4,46.7,24.1,Sumy
Тернопільська,150.5,15310.1,101.7,14313.6,107.5,133.2,996.5,57.5,17.3,Ternopil
Харківська,281.1,14843.3,52.8,10427.7,57.7,180.5,4415.6,43.9,100.6,Kharkiv
Херсонська,56.2,5097.3,90.7,3890.5,107.3,36.3,1206.8,60.5,19.9,Kherson
Хмельницька,270.6,29949.5,110.7,28481.8,114.9,247.9,1467.7,64.7,22.7,Khmelnytskiy
Черкаська,362.1,32639.1,90.1,29308.9,96.5,303.8,3330.2,57.1,58.3,Cherkasy
Чернівецька,60.3,4491.3,74.5,1332.1,98.9,13.5,3159.2,67.5,46.8,Chernivtsi
Чернігівська,467.9,44537.9,95.2,43353.7,97.4,445.3,1184.2,52.3,22.6,Chernihiv
