oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,95.1,4544,47.8,2604.8,50,52.1,1939.2,45.1,43,Vinnytsya
Волинська,32.2,1119.5,34.7,490,53,9.3,629.5,27.4,22.9,Volyn
Дніпропетровська,248.8,8217.6,33,4336.7,40.1,108.2,3880.9,27.6,140.6,Dnipropetrovsk
Донецька,117.4,3571.2,30.5,1734.6,31.6,55.1,1836.6,29.5,62.3,Donetsk
Житомирська,31.3,1273.3,40.7,733.8,44.8,16.4,539.5,36.2,14.9,Zhytomyr
Закарпатська,2,56.6,29.7,9.3,27.1,0.4,47.3,30.3,1.6,Zakarpattya
Запорізька,195.1,6785.8,34.8,4298.7,37.3,115.2,2487.1,31.1,79.9,Zaporizhzhya
Івано-Франківська,25.2,1132.7,45,553.7,51.5,10.7,579,40.1,14.5,Ivano-Frankivsk
Київська,68.8,2915,42.4,1602.6,48.4,33.2,1312.4,36.9,35.6,Kyiv
Кіровоградська,131.8,5542.2,42,3760.6,46,81.7,1781.6,35.6,50.1,Kirovohrad
Луганська,38,1084.1,28.4,602.7,30.5,19.7,481.4,26.2,18.3,Luhansk
Львівська,37.7,1820.7,48.2,1330.6,56.1,23.7,490.1,35,14,Lviv
Миколаївська,306.5,11583.9,37.8,7409.4,41.8,177.1,4174.5,32.3,129.4,Mikolayiv
Одеська,371.5,15602.3,42,11076.2,44,251.7,4526.1,37.8,119.8,Odesa
Полтавська,89.8,3337.7,37.2,1267,44.3,28.5,2070.7,33.8,61.3,Poltava
Рівненська,45.1,1791,39.8,467.5,49.4,9.5,1323.5,37.2,35.6,Rivne 
Сумська,33.8,1343.3,39.8,641.2,43.8,14.6,702.1,36.7,19.2,Sumy
Тернопільська,82.9,3855.1,46.5,2013.6,58.2,34.6,1841.5,38.1,48.3,Ternopil
Харківська,135.9,5097.7,37.5,2208.1,40.9,54,2889.6,35.3,81.9,Kharkiv
Херсонська,209.9,8434.7,40.2,5273.4,43,122.6,3161.3,36.2,87.3,Kherson
Хмельницька,71,3358.7,47.3,2066,54,38.3,1292.7,39.5,32.7,Khmelnytskiy
Черкаська,54.6,2387.4,43.7,1644.8,48.2,34.2,742.6,36.4,20.4,Cherkasy
Чернівецька,18.4,717.7,38.9,239,46.6,5.1,478.7,36,13.3,Chernivtsi
Чернігівська,21.2,890.1,41.9,817.5,44.8,18.2,72.6,24.1,3,Chernihiv
