oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,35.9,1875.2,52.3,1524.4,53,28.8,350.8,49.5,7.1,Vinnytsya
Волинська,7.4,377,51.1,326.8,58.9,5.6,50.2,27.4,1.8,Volyn
Дніпропетровська,106.1,4268.5,40.2,3622.1,43.2,84,646.4,29.2,22.1,Dnipropetrovsk
Донецька,14.3,501.6,35.1,485.6,35.3,13.8,16,30,0.5,Donetsk
Житомирська,10.6,476.3,44.8,337.5,45.9,7.3,138.8,42.4,3.3,Zhytomyr
Закарпатська,1.1,29.4,29.1,6.2,25.6,0.3,23.2,30.2,0.8,Zakarpattya
Запорізька,87.7,3583.6,40.9,3414,41.5,82.3,169.6,31.6,5.4,Zaporizhzhya
Івано-Франківська,8.6,455.8,53.1,336.6,57,5.9,119.2,44.5,2.7,Ivano-Frankivsk
Київська,8.6,430.5,50.6,408.1,51.6,8,22.4,37.5,0.6,Kyiv
Кіровоградська,78.9,3793.3,48.1,3151.6,49.4,63.8,641.7,42.5,15.1,Kirovohrad
Луганська,5.6,155.8,27.4,129.4,26.6,4.8,26.4,31.7,0.8,Luhansk
Львівська,21.9,1240.2,56.7,1112.2,59.8,18.6,128,39,3.3,Lviv
Миколаївська,227.2,9171.1,40.4,6987.1,43.3,161.5,2184,33.2,65.7,Mikolayiv
Одеська,316,13534.8,42.8,10217.9,45.1,226.8,3316.9,37.2,89.2,Odesa
Полтавська,10.3,499.4,48.4,466.7,49.8,9.3,32.7,34.1,1,Poltava
Рівненська,5.5,259.9,47.3,151.6,62.9,2.4,108.3,35.1,3.1,Rivne 
Сумська,3.1,174,57.4,171.4,57.8,3,2.6,37.9,0.1,Sumy
Тернопільська,16.5,927.8,56.3,704.6,65.3,10.8,223.2,39.2,5.7,Ternopil
Харківська,15.1,656.6,43.6,654.1,43.7,15,2.5,35.6,0.1,Kharkiv
Херсонська,118,5322.3,45.1,4403,45.6,96.6,919.3,43,21.4,Kherson
Хмельницька,12.5,647.3,51.7,518.7,56.8,9.1,128.6,37.9,3.4,Khmelnytskiy
Черкаська,14.8,763.1,51.7,704.7,53.2,13.3,58.4,38.4,1.5,Cherkasy
Чернівецька,5,253.1,50.7,160.5,53.9,3,92.6,46,2,Chernivtsi
Чернігівська,1.6,85.2,50.8,84,51.5,1.6,1.2,26.2,0,Chernihiv
