oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,59.2,2668.8,45,1080.4,46.4,23.3,1588.4,44.2,35.9,Vinnytsya
Волинська,24.8,742.5,29.9,163.2,44.1,3.7,579.3,27.4,21.1,Volyn
Дніпропетровська,142.7,3949.1,27.7,714.6,29.5,24.2,3234.5,27.3,118.5,Dnipropetrovsk
Донецька,103.1,3069.6,29.8,1249,30.3,41.3,1820.6,29.5,61.8,Donetsk
Житомирська,20.7,797,38.6,396.3,43.9,9.1,400.7,34.5,11.6,Zhytomyr
Закарпатська,0.9,27.2,30.5,3.1,30.4,0.1,24.1,30.5,0.8,Zakarpattya
Запорізька,107.4,3202.2,29.8,884.7,26.9,32.9,2317.5,31.1,74.5,Zaporizhzhya
Івано-Франківська,16.6,676.9,40.8,217.1,44.9,4.8,459.8,39.1,11.8,Ivano-Frankivsk
Київська,60.2,2484.5,41.3,1194.5,47.3,25.2,1290,36.9,35,Kyiv
Кіровоградська,52.9,1748.9,33.1,609,33.9,17.9,1139.9,32.6,35,Kirovohrad
Луганська,32.4,928.3,28.6,473.3,31.7,14.9,455,25.9,17.5,Luhansk
Львівська,15.8,580.5,36.6,218.4,42.5,5.1,362.1,33.8,10.7,Lviv
Миколаївська,79.3,2412.8,30.4,422.3,26.9,15.6,1990.5,31.2,63.7,Mikolayiv
Одеська,55.5,2067.5,37.2,858.3,34.4,24.9,1209.2,39.5,30.6,Odesa
Полтавська,79.5,2838.3,35.7,800.3,41.7,19.2,2038,33.8,60.3,Poltava
Рівненська,39.6,1531.1,38.7,315.9,44.8,7.1,1215.2,37.4,32.5,Rivne 
Сумська,30.7,1169.3,38.1,469.8,40.3,11.6,699.5,36.7,19.1,Sumy
Тернопільська,66.4,2927.3,44.1,1309,55,23.8,1618.3,38,42.6,Ternopil
Харківська,120.8,4441.1,36.8,1554,39.8,39,2887.1,35.3,81.8,Kharkiv
Херсонська,91.9,3112.4,33.9,870.4,33.5,26,2242,34,65.9,Kherson
Хмельницька,58.5,2711.4,46.4,1547.3,53.1,29.2,1164.1,39.7,29.3,Khmelnytskiy
Черкаська,39.8,1624.3,40.8,940.1,45,20.9,684.2,36.2,18.9,Cherkasy
Чернівецька,13.4,464.6,34.6,78.5,36.6,2.1,386.1,34.2,11.3,Chernivtsi
Чернігівська,19.6,804.9,41.1,733.5,44.2,16.6,71.4,24,3,Chernihiv
