oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,3.1,151.1,50.1,101.1,54.4,1.9,50,43.1,1.2,Vinnytsya
Волинська,24,738.6,30.8,390.6,40.8,9.6,348,24.2,14.4,Volyn
Дніпропетровська,2.2,68.9,32,47.9,38.3,1.3,21,23.3,0.9,Dnipropetrovsk
Донецька,3.3,86.1,26.4,75.6,26.9,2.8,10.5,23,0.5,Donetsk
Житомирська,24.5,890.3,36.3,645.2,40.8,15.8,245.1,28.2,8.7,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,1.2,53.4,42.5,33.1,39.5,0.8,20.3,48.3,0.4,Zaporizhzhya
Івано-Франківська,1.6,47.5,29,NaN,NaN,NaN,NaN,NaN,NaN,Ivano-Frankivsk
Київська,17,638.4,37.7,547.7,40.6,13.5,90.7,26.2,3.5,Kyiv
Кіровоградська,2.7,116.3,44.8,110.3,45.2,2.5,6,38.3,0.2,Kirovohrad
Луганська,2.9,77.7,26.9,57.4,26.3,2.2,20.3,28.6,0.7,Luhansk
Львівська,6,202,33.8,108.7,40,2.7,93.3,28.7,3.3,Lviv
Миколаївська,0.6,22,35.7,17.8,37.2,0.5,4.2,30.7,0.1,Mikolayiv
Одеська,1.3,51.2,41.5,48.7,42.2,1.2,2.5,31.4,0.1,Odesa
Полтавська,6.4,259,40.3,216.3,42.4,5.1,42.7,32,1.3,Poltava
Рівненська,22.7,632.5,27.8,295.6,26.6,11.1,336.9,29,11.6,Rivne 
Сумська,8.5,333.5,39.5,316.8,41.4,7.7,16.7,21,0.8,Sumy
Тернопільська,1.1,66.2,57.4,66.2,57.4,1.1,NaN,NaN,NaN,Ternopil
Харківська,2.1,75.6,36.8,44.3,42.4,1.1,31.3,31.1,1,Kharkiv
Херсонська,2.1,51.5,24.4,23.5,26.4,0.9,28,23,1.2,Kherson
Хмельницька,3.3,168.7,50.9,136.3,63,2.2,32.4,28.2,1.1,Khmelnytskiy
Черкаська,2,62.9,31.9,35.5,32.2,1.1,27.4,31.4,0.9,Cherkasy
Чернівецька,0.5,25.5,54.2,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,32.5,1342.3,41.3,1308.7,42.1,31.1,33.6,24,1.4,Chernihiv
