oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,1,35,32.6,21.6,34.4,0.6,13.4,30,0.4,Vinnytsya
Волинська,38.6,956.6,24.8,113.9,32.4,3.5,842.7,24,35.1,Volyn
Дніпропетровська,1.9,60.7,32.5,40.9,35.7,1.2,19.8,27.5,0.7,Dnipropetrovsk
Донецька,2.8,86.9,31,54.6,34.2,1.6,32.3,26.9,1.2,Donetsk
Житомирська,28,775.4,27.6,249.5,27.3,9.1,525.9,27.8,18.9,Zhytomyr
Закарпатська,1.3,41.5,32.4,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,0.8,21.5,27.6,21.5,27.6,0.8,NaN,NaN,NaN,Zaporizhzhya
Івано-Франківська,4.2,121.3,29.2,5.6,29.1,0.2,115.7,29.2,4,Ivano-Frankivsk
Київська,6,207.9,34.7,127.3,35.4,3.6,80.6,33.6,2.4,Kyiv
Кіровоградська,0.5,13.2,29.2,11.3,30.5,0.4,1.9,23,0.1,Kirovohrad
Луганська,3.3,90.2,27.7,72.1,28.9,2.5,18.1,23.7,0.8,Luhansk
Львівська,12.7,366.2,28.7,41.2,25.4,1.6,325,29.2,11.1,Lviv
Миколаївська,1.1,32.5,30.5,5.9,31.2,0.2,26.6,30.3,0.9,Mikolayiv
Одеська,1.9,51.7,27.7,41.2,27.8,1.5,10.5,27,0.4,Odesa
Полтавська,1.9,60.3,31,37.7,34.4,1.1,22.6,26.7,0.8,Poltava
Рівненська,20.4,554.5,27.2,47.5,23.7,2,507,27.6,18.4,Rivne 
Сумська,11.2,308.9,27.6,191,28.9,6.6,117.9,25.6,4.6,Sumy
Тернопільська,5.3,163.4,30.9,37.8,28.5,1.3,125.6,31.7,4,Ternopil
Харківська,4.8,173.2,36.2,67.4,33.6,2,105.8,38,2.8,Kharkiv
Херсонська,1.9,51.8,27.6,5,27.6,0.2,46.8,27.6,1.7,Kherson
Хмельницька,4.3,164.8,38.1,43.5,39.9,1.1,121.3,37.5,3.2,Khmelnytskiy
Черкаська,1,30.9,30.1,23.9,34.6,0.7,7,20.9,0.3,Cherkasy
Чернівецька,0.8,17.4,20.7,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,21.6,562.1,25.9,375.1,29,12.9,187,21.4,8.7,Chernihiv
