oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,7.1,115.2,16.1,63.1,18.6,3.4,52.1,13.9,3.7,Vinnytsya
Волинська,2,22.3,11.4,14.5,11.4,1.3,7.8,11.4,0.7,Volyn
Дніпропетровська,0.8,6.5,8.8,4.7,9.6,0.5,1.8,7.2,0.3,Dnipropetrovsk
Донецька,3.6,44.9,12.6,4.4,12.1,0.4,40.5,12.6,3.2,Donetsk
Житомирська,16.7,241.3,14.5,62.3,9.6,6.5,179,17.6,10.2,Zhytomyr
Закарпатська,0.4,5,12.4,5,12.4,0.4,NaN,NaN,NaN,Zakarpattya
Запорізька,0.2,1.7,10.9,1.7,10.9,0.2,NaN,NaN,NaN,Zaporizhzhya
Івано-Франківська,1,10.8,11.8,NaN,NaN,NaN,NaN,NaN,NaN,Ivano-Frankivsk
Київська,5,84.1,16.8,69.1,16.6,4.2,15,17.9,0.8,Kyiv
Кіровоградська,1.3,16.6,13.6,14.2,14,1.1,2.4,11.8,0.2,Kirovohrad
Луганська,0.1,1.2,7.1,0.9,7.1,0.1,0.3,7.1,0,Luhansk
Львівська,3.4,37.2,11.1,33.8,11.1,3.1,3.4,11.5,0.3,Lviv
Миколаївська,2.8,31.9,11.5,5.6,12.3,0.5,26.3,11.3,2.3,Mikolayiv
Одеська,0.9,8.9,10,8.2,10.1,0.8,0.7,8.9,0.1,Odesa
Полтавська,2.2,19.5,9.1,13.4,9.1,1.5,6.1,9.1,0.7,Poltava
Рівненська,3.8,44.8,11.9,13.2,6.6,2,31.6,18,1.8,Rivne 
Сумська,7.3,87.1,12,46.6,10.3,4.6,40.5,15,2.7,Sumy
Тернопільська,6,72.9,12.2,44.2,11.8,3.8,28.7,12.9,2.2,Ternopil
Харківська,5.7,59.4,10.2,17.2,8.7,1.9,42.2,11,3.8,Kharkiv
Херсонська,0.6,3.5,6.9,2,7.9,0.3,1.5,6,0.3,Kherson
Хмельницька,9,162.8,18.2,99.3,17.3,5.8,63.5,19.8,3.2,Khmelnytskiy
Черкаська,1.1,15.2,14.3,11.9,14.7,0.8,3.3,13,0.3,Cherkasy
Чернівецька,0.1,1.2,9.1,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,6.7,39.5,5.8,37.5,5.7,6.5,2,8.4,0.2,Chernihiv
