oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,1.5,46.7,32.9,43.6,35.1,1.3,3.1,17.4,0.2,Vinnytsya
Волинська,0.6,16.7,26.1,16.7,26.1,0.6,NaN,NaN,NaN,Volyn
Дніпропетровська,8.1,181.8,22.5,106.7,23.4,4.6,75.1,21.4,3.5,Dnipropetrovsk
Донецька,6.1,176,29.1,78.3,32.1,2.5,97.7,27.1,3.6,Donetsk
Житомирська,3.8,70.5,18.2,59.5,17.3,3.4,11,25,0.4,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,6.4,144.1,22.5,128.6,22.4,5.7,15.5,23.1,0.7,Zaporizhzhya
Івано-Франківська,0,0.2,24.7,0.2,24.7,0,NaN,NaN,NaN,Ivano-Frankivsk
Київська,3.4,77.7,23.4,69.5,23.4,3,8.2,23.4,0.4,Kyiv
Кіровоградська,2.5,66.2,26.3,46.2,27,1.7,20,24.8,0.8,Kirovohrad
Луганська,1.5,27.8,18.1,26,18.4,1.4,1.8,14.4,0.1,Luhansk
Львівська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Lviv
Миколаївська,6.9,176.1,25.6,91.6,25.8,3.6,84.5,25.4,3.3,Mikolayiv
Одеська,10,252.5,25.2,239.6,25.2,9.5,12.9,24.6,0.5,Odesa
Полтавська,5.2,138.3,26.7,125.3,27.3,4.6,13,22.6,0.6,Poltava
Рівненська,0.3,4.1,13,4.1,13,0.3,NaN,NaN,NaN,Rivne 
Сумська,1.1,27.3,24.9,23.1,25.7,0.9,4.2,21.4,0.2,Sumy
Тернопільська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ternopil
Харківська,8.7,245.2,28.3,180.6,29.7,6.1,64.6,25,2.6,Kharkiv
Херсонська,8.1,214.8,26.5,63.5,24.5,2.6,151.3,27.5,5.5,Kherson
Хмельницька,0.4,11.6,31.2,11.5,31.3,0.4,0.1,18.8,0,Khmelnytskiy
Черкаська,2.3,78,34.6,76.8,34.9,2.2,1.2,23.1,0.1,Cherkasy
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,4.5,95.8,21.3,95.1,21.3,4.5,0.7,20.6,0,Chernihiv
