oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,9.3,225.2,24.1,155.7,34.7,4.5,69.5,14.4,4.8,Vinnytsya
Волинська,1.9,50,26.1,33,36.9,0.9,17,16.7,1,Volyn
Дніпропетровська,18,417.9,23.2,352.7,22.8,15.4,65.2,25,2.6,Dnipropetrovsk
Донецька,24.3,437.2,18,416.2,18.3,22.7,21,13.3,1.6,Donetsk
Житомирська,5,123.2,25.2,96,24.4,4,27.2,28.5,1,Zhytomyr
Закарпатська,1.4,21.4,14.9,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,67.2,1394.3,20.8,1335.1,21,63.5,59.2,16.2,3.7,Zaporizhzhya
Івано-Франківська,4.9,112.6,23.3,8.7,25.6,0.4,103.9,23.1,4.5,Ivano-Frankivsk
Київська,5.4,161.4,29.3,143.7,30.8,4.6,17.7,21.2,0.8,Kyiv
Кіровоградська,18.4,470.8,25.7,438.5,26.5,16.6,32.3,18.3,1.8,Kirovohrad
Луганська,2.9,68.6,23.7,64,24.1,2.7,4.6,18.7,0.2,Luhansk
Львівська,3.3,68.3,20.4,29.9,27.5,1,38.4,16.9,2.3,Lviv
Миколаївська,22.6,574.7,25.3,501.4,25,20,73.3,27.8,2.6,Mikolayiv
Одеська,25.2,489.4,19.4,449.1,20.3,22.1,40.3,13,3.1,Odesa
Полтавська,9.3,250.8,27,232.2,27.8,8.4,18.6,20.1,0.9,Poltava
Рівненська,1.2,23.3,19.3,6.3,21.9,0.3,17,18.5,0.9,Rivne 
Сумська,5.8,161,27.8,148.1,29.2,5.1,12.9,18.1,0.7,Sumy
Тернопільська,8,224.6,28.3,173.7,36.8,4.8,50.9,15.8,3.2,Ternopil
Харківська,23.6,603.8,25.7,497.9,27.3,18.3,105.9,20.1,5.3,Kharkiv
Херсонська,18.2,365.3,20,345.1,20,17.2,20.2,19.3,1,Kherson
Хмельницька,14.5,348.2,24,254.2,26.3,9.7,94,19.4,4.8,Khmelnytskiy
Черкаська,9.5,217.5,23.1,192,26.9,7.2,25.5,11.2,2.3,Cherkasy
Чернівецька,1.4,28,19.7,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,9.2,179.4,19.7,154.9,21.1,7.4,24.5,13.7,1.8,Chernihiv
