oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,5,172.1,34,150.5,35.1,4.2,21.6,27.7,0.8,Vinnytsya
Волинська,0.7,29,38.3,28.5,38.8,0.7,0.5,22,0,Volyn
Дніпропетровська,17.6,411.5,23.4,347.3,23,15.1,64.2,26.1,2.5,Dnipropetrovsk
Донецька,22.4,413.5,18.4,398.2,18.6,21.4,15.3,15.9,1,Donetsk
Житомирська,1.6,61.5,37.4,50.9,37.7,1.3,10.6,35.6,0.3,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,63.8,1350.3,21.1,1303.2,21.3,61.2,47.1,18.2,2.6,Zaporizhzhya
Івано-Франківська,0.3,7.9,26.2,NaN,NaN,NaN,NaN,NaN,NaN,Ivano-Frankivsk
Київська,4.2,136.5,32.4,128.1,32.4,3.9,8.4,33.5,0.3,Kyiv
Кіровоградська,15.6,434.2,27.8,424.4,27.7,15.3,9.8,29.6,0.3,Kirovohrad
Луганська,2.6,63.4,24.8,62.4,25,2.5,1,16.7,0.1,Luhansk
Львівська,0.3,7.9,24.7,7.1,24.9,0.3,0.8,22.9,0,Lviv
Миколаївська,21.9,567.1,25.8,496.3,25.4,19.5,70.8,29.4,2.4,Mikolayiv
Одеська,20.1,448.9,22.5,416.5,22.7,18.4,32.4,19.5,1.7,Odesa
Полтавська,7.1,212.7,29.8,204.9,30,6.8,7.8,26.3,0.3,Poltava
Рівненська,0.2,5.2,29.7,5.2,29.7,0.2,NaN,NaN,NaN,Rivne 
Сумська,3.6,114.8,32.1,111.2,32.5,3.4,3.6,23.3,0.2,Sumy
Тернопільська,3.4,124.5,36,117,36.4,3.2,7.5,30.8,0.2,Ternopil
Харківська,19.5,542.9,27.9,457,28.4,16.1,85.9,25.3,3.4,Kharkiv
Херсонська,16.9,353.7,20.9,335.1,20.8,16,18.6,21,0.9,Kherson
Хмельницька,2.5,79.4,32.5,72.8,33.2,2.2,6.6,26.3,0.3,Khmelnytskiy
Черкаська,5.3,155.2,29.5,150.2,30,5,5,19.5,0.3,Cherkasy
Чернівецька,0.2,3.9,22.9,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,4.4,123.2,27.7,123.2,27.7,4.4,NaN,NaN,NaN,Chernihiv
