oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,85,2478,29.1,2251.2,30.8,73.1,226.8,19,11.9,Vinnytsya
Волинська,36.1,986.8,27.4,960.4,27.7,34.7,26.4,19.3,1.4,Volyn
Дніпропетровська,5.8,96.3,16.6,88.9,16.8,5.3,7.4,13.9,0.5,Dnipropetrovsk
Донецька,0.7,15.3,22.6,11.6,23.3,0.5,3.7,20.5,0.2,Donetsk
Житомирська,107.9,2962.6,27.5,2844,28,101.5,118.6,18.4,6.4,Zhytomyr
Закарпатська,10.9,252.6,23.1,252.6,23.1,10.9,NaN,NaN,NaN,Zakarpattya
Запорізька,11.1,400.5,36.2,400.5,36.2,11.1,NaN,NaN,NaN,Zaporizhzhya
Івано-Франківська,40.7,1180,29,1165.2,29.1,40.1,14.8,25,0.6,Ivano-Frankivsk
Київська,91.5,2252.3,24.6,1881.7,27,69.7,370.6,17,21.8,Kyiv
Кіровоградська,63.8,1443.8,22.6,789.3,25.5,30.9,654.5,19.9,32.9,Kirovohrad
Луганська,0.1,0.7,8.9,0.7,8.9,0.1,NaN,NaN,NaN,Luhansk
Львівська,85,2541.1,29.9,2541.1,29.9,85,NaN,NaN,NaN,Lviv
Миколаївська,5.4,106.5,19.8,35.7,19.7,1.8,70.8,19.9,3.6,Mikolayiv
Одеська,4.8,134.3,28,132.5,28.1,4.7,1.8,23.4,0.1,Odesa
Полтавська,121.4,2440.3,20.1,2012.7,21.2,95,427.6,16.2,26.4,Poltava
Рівненська,53.7,1348.4,25.1,1313,25.2,52.1,35.4,21.8,1.6,Rivne 
Сумська,71.8,1473.2,20.5,1439.7,20.6,69.7,33.5,15.9,2.1,Sumy
Тернопільська,73.1,2378.4,32.5,2305.3,33.4,69,73.1,17.9,4.1,Ternopil
Харківська,23.3,401.4,17.3,376.6,17.6,21.5,24.8,13.8,1.8,Kharkiv
Херсонська,75.6,2672.3,35.3,2521.3,35.3,71.3,151,35.2,4.3,Kherson
Хмельницька,133.1,4095.2,30.8,3838.7,32,120.1,256.5,19.8,13,Khmelnytskiy
Черкаська,78.4,1992.5,25.4,1511.9,28.3,53.5,480.6,19.3,24.9,Cherkasy
Чернівецька,58.1,1557.4,26.8,913.9,28.2,32.4,643.5,25,25.7,Chernivtsi
Чернігівська,34.2,883.5,25.8,881.5,25.9,34.1,2,15.7,0.1,Chernihiv
