oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,65,2179.8,33.5,2162.1,33.6,64.2,17.7,24,0.8,Vinnytsya
Волинська,48.7,1573.1,32.4,1573.1,32.4,48.7,NaN,NaN,NaN,Volyn
Дніпропетровська,83.6,1971.7,23.6,1966.2,23.6,83.2,5.5,14.4,0.4,Dnipropetrovsk
Донецька,5.4,92.1,16.9,92.1,16.9,5.4,NaN,NaN,NaN,Donetsk
Житомирська,40.1,1120.5,28,1117.6,28,40,2.9,29.5,0.1,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,72.7,1796.3,24.7,1784.3,24.7,72.2,12,25.1,0.5,Zaporizhzhya
Івано-Франківська,19.7,681.4,34.6,681.4,34.6,19.7,NaN,NaN,NaN,Ivano-Frankivsk
Київська,33.1,1018.9,31,1011.5,31,32.8,7.4,30.7,0.3,Kyiv
Кіровоградська,28.6,721.4,25.3,688.4,25.3,27.3,33,25.4,1.3,Kirovohrad
Луганська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Luhansk
Львівська,53,1769.1,33.4,1769.1,33.4,53,NaN,NaN,NaN,Lviv
Миколаївська,60.5,1580.9,26.1,1526.6,26.4,57.8,54.3,20.3,2.7,Mikolayiv
Одеська,118.9,3008.4,25.3,2973.1,25.3,117.5,35.3,25.6,1.4,Odesa
Полтавська,11.6,361.2,31.2,356.8,31.3,11.4,4.4,24.1,0.2,Poltava
Рівненська,29.4,864,29.3,864,29.3,29.4,NaN,NaN,NaN,Rivne 
Сумська,22.1,711.3,32.2,711.3,32.2,22.1,NaN,NaN,NaN,Sumy
Тернопільська,66.7,2558.7,38.3,2558.7,38.3,66.7,NaN,NaN,NaN,Ternopil
Харківська,3.6,85.7,23.3,85.7,23.3,3.6,NaN,NaN,NaN,Kharkiv
Херсонська,95.2,2471.9,26,2359.9,26,90.6,112,24.5,4.6,Kherson
Хмельницька,83,3012,36.3,2990.9,36.3,82.3,21.1,27.9,0.7,Khmelnytskiy
Черкаська,16.4,534.3,32.6,524.9,32.8,16,9.4,23.5,0.4,Cherkasy
Чернівецька,11.4,320.8,28.2,320.8,28.2,11.4,NaN,NaN,NaN,Chernivtsi
Чернігівська,34.3,1157.5,33.8,1157.5,33.8,34.3,NaN,NaN,NaN,Chernihiv
