oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,62.8,2114.3,33.6,2101.8,33.7,62.3,12.5,26,0.5,Vinnytsya
Волинська,46.7,1536.6,33,1536.6,33,46.7,NaN,NaN,NaN,Volyn
Дніпропетровська,76.4,1843.8,24.1,1838.3,24.2,76,5.5,14.4,0.4,Dnipropetrovsk
Донецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Donetsk
Житомирська,37.5,1051.4,28.1,1048.5,28.1,37.4,2.9,29.5,0.1,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,71.3,1755.6,24.6,1743.6,24.6,70.8,12,25.1,0.5,Zaporizhzhya
Івано-Франківська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ivano-Frankivsk
Київська,31.4,974.5,31.1,968.6,31.1,31.2,5.9,31,0.2,Kyiv
Кіровоградська,NaN,NaN,NaN,NaN,NaN,NaN,32.1,25.5,1.3,Kirovohrad
Луганська,0.8,8.7,10.6,8.7,10.6,0.8,NaN,NaN,NaN,Luhansk
Львівська,51.4,1700.7,33.1,1700.7,33.1,51.4,NaN,NaN,NaN,Lviv
Миколаївська,59.1,1557,26.4,1502.7,26.6,56.4,54.3,20.3,2.7,Mikolayiv
Одеська,116.8,2961.9,25.3,2926.6,25.3,115.4,35.3,25.6,1.4,Odesa
Полтавська,10.7,341,31.9,337.1,32,10.5,3.9,25.1,0.2,Poltava
Рівненська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rivne 
Сумська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sumy
Тернопільська,66.1,2538.8,38.4,2538.8,38.4,66.1,NaN,NaN,NaN,Ternopil
Харківська,3.6,84.8,23.3,84.8,23.3,3.6,NaN,NaN,NaN,Kharkiv
Херсонська,94.6,2461.6,26,2349.6,26.1,90,112,24.5,4.6,Kherson
Хмельницька,81.7,2970.9,36.4,2953.6,36.4,81.1,17.3,28.2,0.6,Khmelnytskiy
Черкаська,15.2,501.1,32.8,494.3,33,14.9,6.8,24.1,0.3,Cherkasy
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,33,1133.7,34.4,1133.7,34.4,33,NaN,NaN,NaN,Chernihiv
