oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,2.2,65.5,30.3,60.3,31.6,1.9,5.2,20.2,0.3,Vinnytsya
Волинська,2,36.5,18.7,36.5,18.7,2,NaN,NaN,NaN,Volyn
Дніпропетровська,7.2,127.9,17.9,127.9,17.9,7.2,NaN,NaN,NaN,Dnipropetrovsk
Донецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Donetsk
Житомирська,2.6,69.1,26.3,69.1,26.3,2.6,NaN,NaN,NaN,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,1.4,40.7,30.2,40.7,30.2,1.4,NaN,NaN,NaN,Zaporizhzhya
Івано-Франківська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Ivano-Frankivsk
Київська,1.7,44.4,28,42.9,28,1.6,1.5,29.7,0.1,Kyiv
Кіровоградська,1,22.6,22.1,21.7,22.2,1,0.9,20.9,0,Kirovohrad
Луганська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Luhansk
Львівська,1.6,68.4,44.3,68.4,44.3,1.6,NaN,NaN,NaN,Lviv
Миколаївська,1.4,23.9,16.4,23.9,16.4,1.4,NaN,NaN,NaN,Mikolayiv
Одеська,2.1,46.5,22.4,46.5,22.4,2.1,NaN,NaN,NaN,Odesa
Полтавська,0.9,20.2,22.8,19.7,22.9,0.9,0.5,17.9,0,Poltava
Рівненська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Rivne 
Сумська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sumy
Тернопільська,0.6,19.9,31.5,19.9,31.5,0.6,NaN,NaN,NaN,Ternopil
Харківська,0,0.9,22.9,0.9,22.9,0,NaN,NaN,NaN,Kharkiv
Херсонська,0.6,10.3,16.2,10.3,16.2,0.6,NaN,NaN,NaN,Kherson
Хмельницька,1.3,41.1,30.9,37.3,31.5,1.2,3.8,26.4,0.1,Khmelnytskiy
Черкаська,1.2,33.2,28.6,30.6,29.4,1.1,2.6,22,0.1,Cherkasy
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,1.3,23.8,18.2,23.8,18.2,1.3,NaN,NaN,NaN,Chernihiv
