oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,865.3,65956.5,76.2,56327.7,82,686.8,9628.8,53.9,178.5,Vinnytsya
Волинська,316.8,15232.4,48.1,10675.6,67.6,157.9,4556.8,28.7,158.9,Volyn
Дніпропетровська,1139.2,49130.4,43.1,33667.1,48,701.8,15463.3,35.3,437.4,Dnipropetrovsk
Донецька,599.7,22540.9,37.6,16446.7,38.4,428.1,6094.2,35.5,171.6,Donetsk
Житомирська,529.7,34862.2,65.8,31076.3,72.8,426.9,3785.9,36.9,102.8,Zhytomyr
Закарпатська,74.2,3238.9,43.6,880.7,77.2,11.4,2358.2,37.5,62.8,Zakarpattya
Запорізька,1011,38469.1,38,28311.2,39.1,723.4,10157.9,35.3,287.6,Zaporizhzhya
Івано-Франківська,150.7,9462.6,62.9,6412.9,77.5,82.8,3049.7,45.1,67.9,Ivano-Frankivsk
Київська,632,45431.9,71.9,41400.7,77.8,532.4,4031.2,40.5,99.6,Kyiv
Кіровоградська,866.9,48133.7,55.5,38098,59,645.8,10035.7,45.4,221.1,Kirovohrad
Луганська,362.1,13098.6,36.2,10480.1,37.7,278.1,2618.5,31.1,84,Luhansk
Львівська,297,17139.2,57.7,12268.4,68.8,178.4,4870.8,41.1,118.6,Lviv
Миколаївська,940.4,38701,41.1,28335.1,44.5,636.2,10365.9,34.1,304.2,Mikolayiv
Одеська,1228.1,52452,42.7,38008.3,44.8,848.5,14443.7,38,379.6,Odesa
Полтавська,965.9,56837,58.8,46624.6,62.2,749.4,10212.4,47.2,216.5,Poltava
Рівненська,296.3,16396,55.3,11627.7,69.6,167.1,4768.3,36.9,129.2,Rivne 
Сумська,666.4,41064.7,61.6,37964.3,64.7,587.1,3100.4,39,79.3,Sumy
Тернопільська,456,31404.8,68.9,25203.4,81.4,309.7,6201.4,42.4,146.3,Ternopil
Харківська,1052.5,49768.4,47.3,38164.4,50,763.7,11604,40.2,288.8,Kharkiv
Херсонська,808.9,35995.4,44.5,24189.2,47.3,511.1,11806.2,39.6,297.8,Kherson
Хмельницька,592.2,47774.2,80.7,43071.3,88.2,488.8,4702.9,45.4,103.4,Khmelnytskiy
Черкаська,660.7,48151.6,72.9,41601.9,78.6,529.4,6549.7,49.9,131.3,Cherkasy
Чернівецька,116.4,7128,61.2,2834.8,67.1,42.1,4293.2,57.8,74.3,Chernivtsi
Чернігівська,751.9,57334.1,76.2,55065.6,79.8,690.2,2268.5,36.6,61.7,Chernihiv
