oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,313.5,10376.3,33.1,10010.8,33.4,299.5,365.5,26.1,14,Vinnytsya
Волинська,36,1009.2,28,1008.7,28,36,0.5,17.6,0,Volyn
Дніпропетровська,599.7,14032.6,23.4,12035,24.1,498.8,1997.6,19.8,100.9,Dnipropetrovsk
Донецька,360.3,7985.6,22.2,6550.1,22.6,289.5,1435.5,20.3,70.8,Donetsk
Житомирська,147.1,3629.3,24.7,3293.3,24.6,133.9,336,25.5,13.2,Zhytomyr
Закарпатська,2.8,55.1,19.8,46.8,19.7,2.4,8.3,20.1,0.4,Zakarpattya
Запорізька,532.5,10583.8,19.9,8348.3,21.2,394.5,2235.5,16.2,138,Zaporizhzhya
Івано-Франківська,31.8,921.5,29,918.1,29,31.7,3.4,25.4,0.1,Ivano-Frankivsk
Київська,200.9,6279.3,31.2,6218,31.4,198.1,61.3,22.1,2.8,Kyiv
Кіровоградська,594.6,15903.9,26.7,12007.4,27.7,433.6,3896.5,24.2,161,Kirovohrad
Луганська,400.2,7581.4,18.9,6295.3,19.3,326.4,1286.1,17.4,73.8,Luhansk
Львівська,39,1003.7,25.7,1003.7,25.7,39,NaN,NaN,NaN,Lviv
Миколаївська,495.1,11237.5,22.7,7892.3,23.7,333.2,3345.2,20.7,161.9,Mikolayiv
Одеська,404.8,9522,23.5,8014.8,24.7,324.4,1507.2,18.7,80.4,Odesa
Полтавська,384.4,9766.9,25.4,8689,26.3,330,1077.9,19.8,54.4,Poltava
Рівненська,38.9,1002.6,25.8,1002.6,25.8,38.9,NaN,NaN,NaN,Rivne 
Сумська,265.6,8211.4,30.9,8008.2,31.2,257,203.2,23.8,8.6,Sumy
Тернопільська,80.2,2751.8,34.3,2751.8,34.3,80.2,NaN,NaN,NaN,Ternopil
Харківська,573.3,14300.9,24.9,12932,25.7,503.1,1368.9,19.5,70.2,Kharkiv
Херсонська,345,6730,19.5,4334.6,20.3,213.4,2395.4,18.2,131.6,Kherson
Хмельницька,161.3,5180.4,32.1,5162.9,32.2,160.4,17.5,19.8,0.9,Khmelnytskiy
Черкаська,254.6,8272.3,32.5,7830.8,33.1,236.9,441.5,25,17.7,Cherkasy
Чернівецька,21.9,641.6,29.2,520.9,29.3,17.7,120.7,28.5,4.2,Chernivtsi
Чернігівська,240.4,7419.3,30.9,7414.4,30.9,240.2,4.9,21.5,0.2,Chernihiv
