oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,46.2,21066.8,456.3,19105.9,464.8,41.1,1960.9,387.9,5.1,Vinnytsya
Волинська,8,3607,450.3,2417,524.3,4.6,1190,350,3.4,Volyn
Дніпропетровська,0.6,316.9,511.2,316.9,511.2,0.6,NaN,NaN,NaN,Dnipropetrovsk
Донецька,0.4,95.4,256.5,NaN,NaN,NaN,95.4,256.5,0.4,Donetsk
Житомирська,10.8,4822.3,444.9,4701.4,446.5,10.5,120.9,390,0.3,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zaporizhzhya
Івано-Франківська,0.4,226.5,553.7,201.7,613,0.3,24.8,310,0.1,Ivano-Frankivsk
Київська,21.4,9261.7,432.7,9087.4,436.5,20.8,174.3,298,0.6,Kyiv
Кіровоградська,10.4,4768.8,460.3,4768.8,460.3,10.4,NaN,NaN,NaN,Kirovohrad
Луганська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Luhansk
Львівська,12.2,6417,524.5,6417,524.5,12.2,NaN,NaN,NaN,Lviv
Миколаївська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Mikolayiv
Одеська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Odesa
Полтавська,25.9,10431.4,402.9,9894.2,403.9,24.5,537.2,384.7,1.4,Poltava
Рівненська,12.7,6569.8,518.3,6281.4,524.5,12,288.4,412,0.7,Rivne 
Сумська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Sumy
Тернопільська,14.5,7609.8,525,7442.5,532.9,14,167.3,316.2,0.5,Ternopil
Харківська,4.3,1783.7,407,1670.3,423.7,3.9,113.4,257.5,0.4,Kharkiv
Херсонська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Kherson
Хмельницька,29,14428.5,497.3,14162.4,501,28.3,266.1,356.8,0.7,Khmelnytskiy
Черкаська,8.4,3901.5,465.1,3901.5,465.1,8.4,NaN,NaN,NaN,Cherkasy
Чернівецька,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,5.6,2281.1,411.6,2230.3,413.9,5.4,50.8,330.2,0.2,Chernihiv
