oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,101.9,15948.8,156.6,25.7,153.7,0.2,15923.1,156.6,101.7,Vinnytsya
Волинська,81.1,12095.1,149.2,82.4,209.7,0.4,12012.7,148.9,80.7,Volyn
Дніпропетровська,53.7,7059.8,131.6,584.3,289,2.1,6475.5,125.4,51.6,Dnipropetrovsk
Донецька,35.2,4613.7,131,20.3,140.3,0.1,4593.4,131,35.1,Donetsk
Житомирська,98.6,18782.3,190.5,468.4,213.2,2.2,18313.9,190,96.4,Zhytomyr
Закарпатська,29.3,4822.8,164.8,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,17.5,2220.2,126.3,4.5,113,0,2215.7,126.3,17.5,Zaporizhzhya
Івано-Франківська,59.9,10239.8,171,20.8,170.8,0.1,10219,171,59.8,Ivano-Frankivsk
Київська,82,15095,184.1,386.6,275.7,1.4,14708.4,182.5,80.6,Kyiv
Кіровоградська,39.4,5319.7,135.1,2.1,117.6,0,5317.6,135.1,39.4,Kirovohrad
Луганська,10.2,2013.7,198.3,NaN,NaN,NaN,NaN,NaN,NaN,Luhansk
Львівська,95.4,16796.4,176,772,339,2.2,16024.4,172,93.2,Lviv
Миколаївська,20.2,3106,153.8,41.2,200,0.2,3064.8,153.3,20,Mikolayiv
Одеська,26.3,3309.7,125.5,28.7,193.6,0.1,3281,125.2,26.2,Odesa
Полтавська,54.1,10818.1,199.8,100.1,152.6,0.6,10718,200.4,53.5,Poltava
Рівненська,73.3,12973.5,177,39.2,197,0.2,12934.3,176.9,73.1,Rivne 
Сумська,54.1,7960.7,146.9,62.5,139.8,0.4,7898.2,147,53.7,Sumy
Тернопільська,54.3,10441,192.4,280,352.5,0.8,10161,190,53.5,Ternopil
Харківська,55.2,6625.2,120.1,6.2,88.8,0.1,6619,120.1,55.1,Kharkiv
Херсонська,22.2,4264.7,191.4,276.7,236.4,1.1,3988,188.9,21.1,Kherson
Хмельницька,61.1,11693.2,191.2,40.8,196.6,0.2,11652.4,191.2,60.9,Khmelnytskiy
Черкаська,50.8,9052.6,178.4,248.2,429,0.6,8804.4,175.5,50.2,Cherkasy
Чернівецька,34.9,6363.9,181.9,12.1,134.2,0,6351.8,182,34.9,Chernivtsi
Чернігівська,69.7,11379.2,163.2,802.4,230.7,3.5,10576.8,159.7,66.2,Chernihiv
