oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,5025,117.1,47.6,4977.4,117.6,82.2,0,0,NaN,
Волинська,2800.5,100.3,186.1,2614.4,100.2,102.6,0,0,NaN,
Дніпропетровська,7758.2,114.3,926.4,6831.8,119.8,85.4,0,0,NaN,
Донецька,2825.1,117.4,89.4,2735.7,119.1,81.3,0,0,NaN,
Житомирська,3748.2,92.5,78.4,3669.8,93,75.3,0,0,NaN,
Закарпатська,2599.2,92.6,NaN,NaN,NaN,NaN,0,0,NaN,
Запорізька,2571.1,101.4,168.3,2402.8,102.7,86.1,0,0,NaN,
Івано-Франківська,1905.2,103.6,39.4,1865.8,103.3,119.1,0,0,NaN,
Київська,6921.8,122.7,486.8,6435,125.5,94.7,0,0,NaN,
Кіровоградська,2595,101.4,50.1,2544.9,102.1,74.8,0,0,NaN,
Луганська,1606.1,108.3,NaN,NaN,NaN,NaN,0,0,NaN,
Львівська,8455.4,105.6,452.3,8003.1,103.7,156,0,0,NaN,
Миколаївська,6242.1,110.1,4152.6,2089.5,115.1,107.8,0,0,NaN,
Одеська,2348.8,99.2,363.9,1984.9,102.2,85.7,0,0,NaN,
Полтавська,5676.1,100.8,42.6,5633.5,100.9,90.6,0,0,NaN,
Рівненська,2733.6,99.1,97.5,2636.1,99.5,89.4,0,0,NaN,
Сумська,2089.4,101.9,20.6,2068.8,101.8,112.2,0,0,NaN,
Тернопільська,2707.3,101.5,141.9,2565.4,99.6,156.1,0,0,NaN,
Харківська,5557.7,98.1,231.3,5326.4,98.8,85.2,0,0,NaN,
Херсонська,12208.3,90.4,5004.6,7203.7,97.4,81.9,0,0,NaN,
Хмельницька,2235.5,99.1,85.3,2150.2,100.5,73.7,0,0,NaN,
Черкаська,3793.2,101.5,991.5,2801.7,102.5,98.8,0,0,NaN,
Чернівецька,2541,101.1,NaN,NaN,NaN,NaN,0,0,NaN,
Чернігівська,1915,87.1,12.5,1902.5,87.9,37.2,0,0,NaN,
