oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,22.7,4942.1,219,28.9,135.1,0.3,4913.2,219.8,22.4,Vinnytsya
Волинська,12.8,2783.7,217.3,185.8,222.2,0.8,2597.9,217,12,Volyn
Дніпропетровська,36.4,7224.8,198.1,786.9,381.3,2,6437.9,187.1,34.4,Dnipropetrovsk
Донецька,16,2756.1,171.9,58.4,195.8,0.3,2697.7,171.5,15.7,Donetsk
Житомирська,17.3,3650.8,211,63.9,389.3,0.2,3586.9,209.3,17.1,Zhytomyr
Закарпатська,11.5,2459.2,212.6,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,10.5,1860.2,176.6,168.1,212,0.8,1692.1,173.7,9.7,Zaporizhzhya
Івано-Франківська,10.9,1864.9,172.2,29.6,38.2,0.8,1835.3,182.5,10.1,Ivano-Frankivsk
Київська,32.9,6639.9,201.8,293.1,376.4,0.8,6346.8,197.5,32.1,Kyiv
Кіровоградська,16.9,2574.4,152.3,50.1,58.9,0.8,2524.3,157.2,16.1,Kirovohrad
Луганська,5.5,1521,277.8,NaN,NaN,NaN,1521,277.8,5.5,Luhansk
Львівська,43.2,8386.5,194.3,421.1,162.5,2.6,7965.4,196.3,40.6,Lviv
Миколаївська,18.4,6149.6,336.1,4142.7,809.8,5.2,2006.9,152.3,13.2,Mikolayiv
Одеська,15.1,2348,156.4,363.1,185.7,2,1984.9,152.1,13.1,Odesa
Полтавська,24.2,5596.4,231,33.2,253.8,0.1,5563.2,230.9,24.1,Poltava
Рівненська,12.3,2571.2,207.6,67.1,198.6,0.3,2504.1,207.8,12,Rivne 
Сумська,11.5,2060.7,178.8,3.2,101.9,0,2057.5,179,11.5,Sumy
Тернопільська,10.3,2404.5,232.5,127,244.2,0.5,2277.5,231.9,9.8,Ternopil
Харківська,31.2,5015,160.7,153.3,383,0.4,4861.7,157.9,30.8,Kharkiv
Херсонська,39.4,11166.2,283.2,4975.8,570.9,8.7,6190.4,201.5,30.7,Kherson
Хмельницька,10.4,2186.2,210.5,83.3,307.8,0.3,2102.9,207.9,10.1,Khmelnytskiy
Черкаська,21.3,3611.6,170.2,845.8,146.6,5.8,2765.8,178.9,15.5,Cherkasy
Чернівецька,12.8,2510.7,195.2,NaN,NaN,NaN,NaN,NaN,NaN,Chernivtsi
Чернігівська,11.2,1881.7,167,12.5,96.2,0.1,1869.2,167.9,11.1,Chernihiv
