oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,14.9,5577.2,374.1,5526.1,376.6,14.7,51.1,216.7,0.2,Vinnytsya
Волинська,7,2178.5,310.1,1822.3,338,5.4,356.2,218,1.6,Volyn
Дніпропетровська,6.7,1415.9,211.6,1031.7,216.3,4.8,384.2,200,1.9,Dnipropetrovsk
Донецька,5.5,1286.9,235.4,924.4,239.9,3.9,362.5,224.6,1.6,Donetsk
Житомирська,6,1795.3,298.8,1707.3,302.7,5.6,88,240,0.4,Zhytomyr
Закарпатська,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Zakarpattya
Запорізька,3,769.3,256.3,756.8,256.6,2.9,12.5,239.8,0.1,Zaporizhzhya
Івано-Франківська,1.7,633,379.4,620.5,384.5,1.6,12.5,228,0.1,Ivano-Frankivsk
Київська,13.3,4752.5,356.2,4581,355.7,12.8,171.5,368,0.5,Kyiv
Кіровоградська,5,1658,329.9,1658,329.9,5,NaN,NaN,NaN,Kirovohrad
Луганська,3.1,469.8,155.5,424.2,145.2,3,45.6,450,0.1,Luhansk
Львівська,1.1,435.5,377.8,435.5,377.8,1.1,NaN,NaN,NaN,Lviv
Миколаївська,5.8,1161,199.2,682.1,240.5,2.8,478.9,160,3,Mikolayiv
Одеська,4,607.7,154.2,592.7,157.1,3.8,15,88.7,0.2,Odesa
Полтавська,27.1,7268.1,268.5,7112.1,267.6,26.6,156,314.7,0.5,Poltava
Рівненська,3.4,1155,339.1,1004.6,344,2.9,150.4,310,0.5,Rivne 
Сумська,10,3359.8,335.2,3305.7,338,9.8,54.1,223.2,0.2,Sumy
Тернопільська,3.9,1913.1,480.2,1875.5,487.3,3.8,37.6,278.3,0.1,Ternopil
Харківська,22,4708.5,213.8,4658.2,214.8,21.7,50.3,150,0.3,Kharkiv
Херсонська,6.3,1446.4,229.5,480,282.2,1.7,966.4,210,4.6,Kherson
Хмельницька,12.1,5604.4,465.1,5470.7,468,11.7,133.7,371.1,0.4,Khmelnytskiy
Черкаська,13.9,4946.5,355.3,4819.7,363,13.3,126.8,197,0.6,Cherkasy
Чернівецька,0.6,167.6,305,167.6,305,0.6,NaN,NaN,NaN,Chernivtsi
Чернігівська,15.4,6160.5,401,6160.5,401,15.4,NaN,NaN,NaN,Chernihiv
