oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,2487.1,125.4,1169.7,1317.4,105.8,158.3,0,0,NaN,
Волинська,388.7,106.1,40.6,348.1,103.3,137.6,0,0,NaN,
Дніпропетровська,1372.7,116.6,265.7,1107,114.3,127.2,0,0,NaN,
Донецька,933.2,108.1,59.2,874,106.3,144.8,0,0,NaN,
Житомирська,491,115.7,NaN,NaN,NaN,NaN,0,0,NaN,
Закарпатська,948.7,105.8,76,872.7,111.1,68.1,0,0,NaN,
Запорізька,617.9,142.3,75.8,542.1,144.3,129.4,0,0,NaN,
Івано-Франківська,567.3,108.2,33,534.3,107,130.2,0,0,NaN,
Київська,698.8,112.3,83.2,615.6,105.8,206.4,0,0,NaN,
Кіровоградська,224.1,77.7,4.8,219.3,77.9,69.7,0,0,NaN,
Луганська,620.4,103.6,0.6,619.8,103.6,92.6,0,0,NaN,
Львівська,1270,90.8,136,1134,99.3,52.9,0,0,NaN,
Миколаївська,287.3,115.3,36.9,250.4,111.9,144.9,0,0,NaN,
Одеська,857.7,97.7,30,827.7,98.2,87.2,0,0,NaN,
Полтавська,1128.6,97.2,24.3,1104.3,97.9,75,0,0,NaN,
Рівненська,865.9,99.3,NaN,NaN,NaN,NaN,0,0,NaN,
Сумська,164.3,98.3,10.1,154.2,97.6,109.8,0,0,NaN,
Тернопільська,897.7,113.1,311.1,586.6,107.9,124.3,0,0,NaN,
Харківська,472.9,100.9,43.1,429.8,98.6,130,0,0,NaN,
Херсонська,369.7,84.9,126.5,243.2,93.6,72.2,0,0,NaN,
Хмельницька,2101.6,104.2,292.4,1809.2,97.8,174.6,0,0,NaN,
Черкаська,315.6,78.7,13.3,302.3,85.7,27.7,0,0,NaN,
Чернівецька,2377.7,108.4,540.3,1837.4,109.4,105,0,0,NaN,
Чернігівська,181.8,85.9,NaN,NaN,NaN,NaN,0,0,NaN,
