oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,35,94.2,NaN,35,94.2,NaN,0,NaN,NaN,
Волинська,2.6,98.9,NaN,2.6,98.9,NaN,0,NaN,NaN,
Дніпропетровська,75.3,78.1,NaN,NaN,NaN,NaN,0,NaN,NaN,
Донецька,49.7,95.8,NaN,NaN,NaN,NaN,0,NaN,NaN,
Житомирська,0.7,109.3,NaN,0.7,109.3,NaN,0,NaN,NaN,
Закарпатська,283.8,106.4,NaN,NaN,NaN,NaN,0,NaN,NaN,
Запорізька,37.8,77.6,NaN,NaN,NaN,NaN,0,NaN,NaN,
Івано-Франківська,8.3,102.1,NaN,8.3,102.1,NaN,0,NaN,NaN,
Київська,25.7,120.6,NaN,25.7,120.6,NaN,0,NaN,NaN,
Кіровоградська,30.2,94.2,NaN,30.2,94.2,NaN,0,NaN,NaN,
Луганська,28,104.2,NaN,28,104.2,NaN,0,NaN,NaN,
Львівська,13.2,98.9,NaN,13.2,98.9,NaN,0,NaN,NaN,
Миколаївська,177.3,81.3,155.3,22,67,83.8,0,NaN,NaN,
Одеська,1419.8,89.4,524.9,894.9,90.6,87.5,0,NaN,NaN,
Полтавська,27.4,100.6,0,27.4,100.6,131.9,0,NaN,NaN,
Рівненська,3.2,97.7,NaN,3.2,97.7,NaN,0,NaN,NaN,
Сумська,2.2,82.8,NaN,2.2,82.8,NaN,0,NaN,NaN,
Тернопільська,1.8,103.3,NaN,1.8,103.3,NaN,0,NaN,NaN,
Харківська,5.4,78.3,NaN,NaN,NaN,NaN,0,NaN,NaN,
Херсонська,92.2,46,42.5,49.7,37.7,61.9,0,NaN,NaN,
Хмельницька,5.9,90.7,NaN,5.9,92.7,NaN,0,NaN,NaN,
Черкаська,12.1,71.4,NaN,12.1,71.4,NaN,0,NaN,NaN,
Чернівецька,12.2,104.2,NaN,12.2,104.3,NaN,0,NaN,NaN,
Чернігівська,3.6,117.8,NaN,3.6,117.8,NaN,0,NaN,NaN,
