oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,324.1,18419.6,56.8,15478.9,58.5,264.6,2940.7,49.5,59.5,Vinnytsya
Волинська,165.2,7416.9,44.9,4853.8,57.9,83.8,2563.1,31.5,81.4,Volyn
Дніпропетровська,559.1,24676.3,44.1,21072.5,45.7,460.6,3603.8,36.6,98.5,Dnipropetrovsk
Донецька,383.7,15572.3,40.6,13225.8,40.8,323.9,2346.5,39.2,59.8,Donetsk
Житомирська,169.1,8389.8,49.6,7274.2,52.7,138,1115.6,35.9,31.1,Zhytomyr
Закарпатська,23.1,783.5,33.8,94.2,38.5,2.4,689.3,33.3,20.7,Zakarpattya
Запорізька,703.3,27300.2,38.8,20099.8,39.4,510.7,7200.4,37.4,192.6,Zaporizhzhya
Івано-Франківська,47.5,2446.5,51.6,1368.9,57,24.1,1077.6,46,23.4,Ivano-Frankivsk
Київська,205.3,10807.4,52.6,9311.2,55.4,168,1496.2,40.1,37.3,Kyiv
Кіровоградська,382.1,19020,49.8,15797.6,50.9,310.2,3222.4,44.9,71.9,Kirovohrad
Луганська,258.3,10117.9,39.2,8641.4,40,216.3,1476.5,35.2,42,Luhansk
Львівська,166.6,8340.7,50.1,4786.2,55.3,86.6,3554.5,44.5,80,Lviv
Миколаївська,476.6,20140,42.3,17288.3,43.8,394.5,2851.7,34.7,82.1,Mikolayiv
Одеська,674.9,27310.3,40.5,20414.2,42.4,481.2,6896.1,35.6,193.7,Odesa
Полтавська,249,12233.5,49.1,10055.2,51,197.1,2178.3,41.9,51.9,Poltava
Рівненська,114.6,5519.6,48.2,3316.8,56,59.3,2202.8,39.8,55.3,Rivne 
Сумська,195.7,9496.4,48.5,8419,49.9,168.7,1077.4,39.8,27,Sumy
Тернопільська,202.1,11710,57.9,8551.8,65.4,130.8,3158.2,44.3,71.3,Ternopil
Харківська,587.2,28515.1,48.6,24566.6,49.5,496.4,3948.5,43.5,90.8,Kharkiv
Херсонська,502.3,21339.6,42.5,14276.2,43.9,325.5,7063.4,39.9,176.8,Kherson
Хмельницька,219.1,13609.9,62.2,11978.7,65.4,183.4,1631.2,45.8,35.7,Khmelnytskiy
Черкаська,225.2,12554,55.8,10144.3,57.5,176.6,2409.7,49.6,48.6,Cherkasy
Чернівецька,34.4,1819.1,52.7,1213.5,54.1,22.3,605.6,50.1,12.1,Chernivtsi
Чернігівська,187,9658.1,51.6,8894.2,54.6,163,763.9,31.8,24,Chernihiv
