oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,18419.6,132.6,15478.9,2940.7,155.5,129,NaN,NaN,NaN,
Волинська,7416.9,100.4,4853.8,2563.1,93.3,104.6,NaN,NaN,NaN,
Дніпропетровська,24676.3,124.2,21072.5,3603.8,121,124.8,NaN,NaN,NaN,
Донецька,15572.3,110.8,13225.8,2346.5,110,110.9,NaN,NaN,NaN,
Житомирська,8389.8,131.3,7274.2,1115.6,101.1,137.5,NaN,NaN,NaN,
Закарпатська,783.5,94.1,94.2,689.3,99.6,67.2,NaN,NaN,NaN,
Запорізька,27300.2,130.2,20099.8,7200.4,146.4,125.3,NaN,NaN,NaN,
Івано-Франківська,2446.5,84.2,1368.9,1077.6,100.8,74.6,NaN,NaN,NaN,
Київська,10807.4,135.8,9311.2,1496.2,111.4,140.7,NaN,NaN,NaN,
Кіровоградська,19020,165.5,15797.6,3222.4,150.9,168.9,NaN,NaN,NaN,
Луганська,10117.9,97.7,8641.4,1476.5,113.2,95.5,NaN,NaN,NaN,
Львівська,8340.7,103.1,4786.2,3554.5,115.2,95.7,NaN,NaN,NaN,
Миколаївська,20140,170.7,17288.3,2851.7,131.2,179.6,NaN,NaN,NaN,
Одеська,27310.3,267.8,20414.2,6896.1,160.1,346.5,NaN,NaN,NaN,
Полтавська,12233.5,117.2,10055.2,2178.3,98.6,122.2,NaN,NaN,NaN,
Рівненська,5519.6,111,3316.8,2202.8,102.3,117.7,NaN,NaN,NaN,
Сумська,9496.4,100.4,8419,1077.4,106.2,99.7,NaN,NaN,NaN,
Тернопільська,11710,111.5,8551.8,3158.2,119.9,108.7,NaN,NaN,NaN,
Харківська,28515.1,104.9,24566.6,3948.5,92.8,107.2,NaN,NaN,NaN,
Херсонська,21339.6,132.9,14276.2,7063.4,140.4,129.4,NaN,NaN,NaN,
Хмельницька,13609.9,123.8,11978.7,1631.2,127.8,123.3,NaN,NaN,NaN,
Черкаська,12554,162,10144.3,2409.7,153.2,164.2,NaN,NaN,NaN,
Чернівецька,1819.1,117.9,1213.5,605.6,121.1,116.4,NaN,NaN,NaN,
Чернігівська,9658.1,125.6,8894.2,763.9,116.2,126.4,NaN,NaN,NaN,
