oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
Вінницька,313.4,17868.7,57,15074,58.7,256.8,2794.7,49.4,56.6,Vinnytsya
Волинська,151.4,6913.7,45.7,4516.6,59.4,76,2397.1,31.8,75.4,Volyn
Дніпропетровська,555.8,24579.2,44.2,20998.2,45.9,458,3581,36.6,97.8,Dnipropetrovsk
Донецька,382,15518.6,40.6,13199.3,40.9,323.1,2319.3,39.4,58.9,Donetsk
Житомирська,147,7333.1,49.9,6340,52.9,119.7,993.1,36.4,27.3,Zhytomyr
Закарпатська,22.6,767.5,33.9,85.2,38.7,2.2,682.3,33.4,20.4,Zakarpattya
Запорізька,700.3,27216.1,38.9,20033.6,39.4,508.3,7182.5,37.4,192,Zaporizhzhya
Івано-Франківська,41.4,2192.6,53,1267.1,58.5,21.7,925.5,47,19.7,Ivano-Frankivsk
Київська,190.4,10126.9,53.2,8729.7,55.7,156.6,1397.2,41.3,33.8,Kyiv
Кіровоградська,379.4,18928.2,49.9,15730.2,51,308.3,3198,45,71.1,Kirovohrad
Луганська,257.2,10077.7,39.2,8609.4,40,215.5,1468.3,35.2,41.7,Luhansk
Львівська,145.8,7458.1,51.2,4308.5,57.2,75.4,3149.6,44.8,70.4,Lviv
Миколаївська,472.8,20012.6,42.3,17206.4,43.9,392.1,2806.2,34.8,80.7,Mikolayiv
Одеська,670.2,27135.2,40.5,20320.6,42.4,478.9,6814.6,35.6,191.3,Odesa
Полтавська,245.3,12112.2,49.4,9995.2,51.2,195.3,2117,42.3,50,Poltava
Рівненська,108.1,5237.2,48.5,3129.2,56.6,55.3,2108,39.9,52.8,Rivne 
Сумська,188.1,9196.8,48.9,8178.3,50.2,162.8,1018.5,40.2,25.3,Sumy
Тернопільська,183.2,10819.4,59,7952,66.7,119.1,2867.4,44.7,64.1,Ternopil
Харківська,577.6,28118.3,48.7,24271.5,49.6,489,3846.8,43.4,88.6,Kharkiv
Херсонська,500.8,21300.7,42.5,14248.2,43.9,324.5,7052.5,40,176.3,Kherson
Хмельницька,209.5,13176.5,62.9,11619.4,66.1,175.7,1557.1,46.1,33.8,Khmelnytskiy
Черкаська,220,12322.1,56,9946.5,57.7,172.3,2375.6,49.8,47.7,Cherkasy
Чернівецька,31.8,1723.6,54,1162.8,55.2,21,560.8,51.8,10.8,Chernivtsi
Чернігівська,175.7,9149.1,52.1,8396.2,55.2,152.1,752.9,31.8,23.6,Chernihiv
