oblastNameUkrainian,harvestedArea,volume,grainYield,volumeEnterprise,grainYieldEnterprise,harvestedAreaEnterprise,volumeHousehold,grainYieldHousehold,harvestedAreaHousehold,oblastNameEnglish
"Стор./
Page",0,0,0,0,0,0,0,0,0,
1,NaN,0,0,0,0,0,0,0,0,
4,NaN,0,0,0,0,0,0,0,0,
5,NaN,0,0,0,0,0,0,0,0,
6,NaN,0,0,0,0,0,0,0,0,
7,NaN,0,0,0,0,0,0,0,0,
8,NaN,0,0,0,0,0,0,0,0,
9,NaN,0,0,0,0,0,0,0,0,
10,NaN,0,0,0,0,0,0,0,0,
11,NaN,0,0,0,0,0,0,0,0,
12,NaN,0,0,0,0,0,0,0,0,
13,NaN,0,0,0,0,0,0,0,0,
14,NaN,0,0,0,0,0,0,0,0,
15,NaN,0,0,0,0,0,0,0,0,
16,NaN,0,0,0,0,0,0,0,0,
17,NaN,0,0,0,0,0,0,0,0,
18,NaN,0,0,0,0,0,0,0,0,
19,NaN,0,0,0,0,0,0,0,0,
20,NaN,0,0,0,0,0,0,0,0,
21,NaN,0,0,0,0,0,0,0,0,
22,NaN,0,0,0,0,0,0,0,0,
23,NaN,0,0,0,0,0,0,0,0,
24,NaN,0,0,0,0,0,0,0,0,
25,NaN,0,0,0,0,0,0,0,0,
26,NaN,0,0,0,0,0,0,0,0,
27,NaN,0,0,0,0,0,0,0,0,
28,NaN,0,0,0,0,0,0,0,0,
29,NaN,0,0,0,0,0,0,0,0,
30,NaN,0,0,0,0,0,0,0,0,
31,NaN,0,0,0,0,0,0,0,0,
32,NaN,0,0,0,0,0,0,0,0,
33,NaN,0,0,0,0,0,0,0,0,
34,NaN,0,0,0,0,0,0,0,0,
35,NaN,0,0,0,0,0,0,0,0,
36,NaN,0,0,0,0,0,0,0,0,
37,NaN,0,0,0,0,0,0,0,0,
38,NaN,0,0,0,0,0,0,0,0,
39,NaN,0,0,0,0,0,0,0,0,
40,NaN,0,0,0,0,0,0,0,0,
41,NaN,0,0,0,0,0,0,0,0,
42,NaN,0,0,0,0,0,0,0,0,
43,NaN,0,0,0,0,0,0,0,0,
44,NaN,0,0,0,0,0,0,0,0,
45,NaN,0,0,0,0,0,0,0,0,
46,NaN,0,0,0,0,0,0,0,0,
47,NaN,0,0,0,0,0,0,0,0,
48,NaN,0,0,0,0,0,0,0,0,
49,NaN,0,0,0,0,0,0,0,0,
50,NaN,0,0,0,0,0,0,0,0,
51,NaN,0,0,0,0,0,0,0,0,
52,NaN,0,0,0,0,0,0,0,0,
53,NaN,0,0,0,0,0,0,0,0,
