"Обсяг виробництва, урожайність та зібрана площа сільськогосподарських культур за їх видами 
на 01 грудня 2021 року
The volume of production, yield and the area of agricultural crops collected by their species as of 01 December, 2021",,,,,,,,,,,,,,,,,,,,,,
Зміст ,,Contents,,,,,,,,,,,,,,,,,,,,
,"Стор./
Page",,,,,,,,,,,,,,,,,,,,,
Збір урожаю культур сільськогосподарських за категоріями господарств по Україні,1,Harvesting of аgricultural crops by types agricultural holdings in Ukraine,,,,,,,,,,,,,,,,,,,,
Збір урожаю культур сільськогосподарських за категоріями господарств по регіонах,,Harvesting of аgricultural crops by types agricultural holdings by region,,,,,,,,,,,,,,,,,,,,
Збір урожаю культур зернових і зернобобових,4,Harvesting of cereal and leguminous crops,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва культур зернових і зернобобових,5,Dynamics of cereal and leguminous crops production,,,,,,,,,,,,,,,,,,,,
Збір урожаю пшениці,6,Harvesting of wheat ,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва пшениці,7,Dynamics of wheat production,,,,,,,,,,,,,,,,,,,,
Збір урожаю пшениці озимої,8,Harvesting of winter wheat,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва пшениці озимої,9,Dynamics of winter wheat production,,,,,,,,,,,,,,,,,,,,
Збір урожаю пшениці ярої,10,Harvesting of spring wheat,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва пшениці ярої,11,Dynamics of spring wheat production,,,,,,,,,,,,,,,,,,,,
Збір урожаю кукурудзи,12,Harvesting of maizе,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва кукурудзи,13,Dynamics of maize,,,,,,,,,,,,,,,,,,,,
Збір урожаю ячменю,14,Harvesting of barley,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва ячменю,15,Dynamics of barley production,,,,,,,,,,,,,,,,,,,,
Збір урожаю ячменю озимого,16,Harvesting of winter barley,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва ячменю озимого,17,Dynamics of winter barley production,,,,,,,,,,,,,,,,,,,,
Збір урожаю ячменю ярого,18,Harvesting of spring barley,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва ячменю ярого,19,Dynamics of spring barley production,,,,,,,,,,,,,,,,,,,,
Збір урожаю жита озимого,20,Harvesting of winter rye,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва жита озимого,21,Dynamics of winter rye production,,,,,,,,,,,,,,,,,,,,
Збір урожаю вівса,22,Harvesting of oat,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва вівса,23,Dynamics of oat production,,,,,,,,,,,,,,,,,,,,
Збір урожаю гречки,24,Harvesting of buckwheat,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва гречки,25,Dynamics of buckwheat production,,,,,,,,,,,,,,,,,,,,
Збір урожаю проса,26,Harvesting of millet,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва проса,27,Dynamics of millet production,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва рису,28,Dynamics of production volume of rice,,,,,,,,,,,,,,,,,,,,
Збір урожаю культур зернобобових,29,Harvesting of leguminous crops,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва культур зернобобових,30,Dynamics of leguminous crops production,,,,,,,,,,,,,,,,,,,,
Збір урожаю гороху,31,Harvesting of peas,,,,,,,,,,,,,,,,,,,,
Динаміка обсягу виробництва гороху,32,Dynamics of peas production,,,,,,,,,,,,,,,,,,,,
